DOI,URL,Date,YearMonthDay,YearMonth,Diseases,Cases,Deaths
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Plague,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Cholera,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,SARS-CoV,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Acquired immune deficiency syndrome,6493,2131
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis,126320,35
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis A,1026,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis B,102598,22
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis C,19858,10
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis D,18,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hepatitis E,2055,2
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Other hepatitis,765,1
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Poliomyelitis,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Human infection with H5N1 virus,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Measles,105,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Epidemic hemorrhagic fever,2120,12
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Rabies,11,9
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Japanese encephalitis,14,1
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Dengue,5,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Anthrax,18,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Dysentery,2775,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Tuberculosis,61753,128
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Typhoid fever and paratyphoid fever,524,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Meningococcal meningitis,3,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Pertussis,1148,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Diphtheria,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Neonatal tetanus,2,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Scarlet fever,2717,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Brucellosis,3649,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Gonorrhea,11119,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Syphilis,42174,4
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Leptospirosis,31,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Schistosomiasis,3,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Malaria,62,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Human infection with H7N9 virus,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,COVID-19,1581,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Influenza,110691,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Mumps,11881,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Rubella,119,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Acute hemorrhagic conjunctivitis,2218,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Leprosy,28,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Typhus,155,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Kala azar,21,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Echinococcosis,209,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Filariasis,0,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Infectious diarrhea,64241,1
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Hand foot and mouth disease,113473,0
doi/10.46234/ccdcw2022.002,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2022.002,2021-11-01 00:00:00,2021/11/01,2021 November,Total,565663,2321
