Date,YearMonthDay,YearMonth,DiseaseCN,Diseases,Cases,Deaths,ProvinceCN,Province,ADCode,DOI,URL,Source
2020-11-01,2020/11/01,2020 November,鼠疫,Plague,0,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,霍乱,Cholera,0,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,SARS,SARS-CoV,0,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,艾滋病,Acquired immune deficiency syndrome,5824,1738,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,肝炎,Hepatitis,125059,55,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,甲肝,Hepatitis A,1243,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,乙肝,Hepatitis B,100561,37,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,丙肝,Hepatitis C,20801,16,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,丁肝,Hepatitis D,22,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,戊肝,Hepatitis E,1639,1,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,肝炎（未分型）,Other hepatitis,793,1,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,脊髓灰质炎,Poliomyelitis,0,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,人感染H5N1病毒,Human infection with H5N1 virus,0,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,麻疹,Measles,118,0,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,出血热,Epidemic hemorrhagic fever,1796,14,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-11-01,2020/11/01,2020 November,狂犬病,Rabies,12,20,全国,China,100000,doi/10.46234/ccdcw2021.003,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.003,China CDC Weekly: Notifiable Infectious Diseases Reports
