Date,YearMonthDay,YearMonth,DiseaseCN,Diseases,Cases,Deaths,ProvinceCN,Province,ADCode,DOI,URL,Source
2020-09-01,2020/09/01,2020 September,鼠疫,Plague,1,0,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,霍乱,Cholera,2,0,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,SARS,SARS-CoV,0,0,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,艾滋病,Acquired immune deficiency syndrome,6927,2019,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,肝炎,Hepatitis,130930,69,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,甲肝,Hepatitis A,1335,1,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,乙肝,Hepatitis B,105377,53,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,丙肝,Hepatitis C,21538,13,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,丁肝,Hepatitis D,25,0,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-09-01,2020/09/01,2020 September,戊肝,Hepatitis E,1811,1,全国,China,100000,doi/10.46234/ccdcw2020.226,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.226,China CDC Weekly: Notifiable Infectious Diseases Reports
