DOI,URL,Date,YearMonthDay,YearMonth,Diseases,Cases,Deaths
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Plague,2,2
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Cholera,5,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,SARS-CoV,0,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Acquired immune deficiency syndrome,5166,1560
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis,126950,42
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis A,1401,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis B,102304,30
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis C,20520,11
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis D,19,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Hepatitis E,1759,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Other hepatitis,947,1
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Poliomyelitis,0,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Human infection with H5N1 virus,0,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Measles,119,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Epidemic hemorrhagic fever,313,2
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Rabies,23,15
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Japanese encephalitis,69,2
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Dengue,55,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Anthrax,39,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Dysentery,7270,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Tuberculosis,76423,131
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Typhoid fever and paratyphoid fever,830,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Meningococcal meningitis,4,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Pertussis,142,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Diphtheria,1,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Neonatal tetanus,3,0
doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,2020-08-01 00:00:00,2020/08/01,2020 August,Scarlet fever,763,0
