DOI,URL,Date,YearMonthDay,YearMonth,Diseases,Cases,Deaths
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Typhus,119,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Typhoid fever and paratyphoid fever,452,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Tuberculosis,72846,335
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Total,2101158,2217
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Syphilis,48926,1
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Schistosomiasis,1,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Scarlet fever,1102,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,SARS-CoV,0,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Rubella,75,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Rabies,14,11
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Poliomyelitis,0,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Plague,0,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Pertussis,1074,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Other hepatitis,610,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Neonatal tetanus,1,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Mumps,7028,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Meningococcal meningitis,11,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Measles,85,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Malaria,189,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Leptospirosis,8,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Leprosy,41,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Kala azar,34,1
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Japanese encephalitis,1,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Influenza,1677011,31
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Infectious diarrhea,103060,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Human infection with H7N9 virus,0,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Human infection with H5N1 virus,0,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Hepatitis E,3006,1
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Hepatitis D,19,0
doi/10.46234/ccdcw2023.099,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2023.099,2023-04-01 00:00:00,2023/04/01,2023 April,Hepatitis C,21597,76
